AIRLINE,MONTH,rank,DELAY_TYPE,DELAY
UA,Jun,4,DEPARTURE_DELAY,26.95084880984581
UA,Jul,3,DEPARTURE_DELAY,20.903336164582093
UA,Aug,2,DEPARTURE_DELAY,15.20033615866211
UA,Sep,3,DEPARTURE_DELAY,9.75098814229249
UA,Nov,4,DEPARTURE_DELAY,12.212165880503145
UA,Dec,1,DEPARTURE_DELAY,30.36113092915668
US,Jan,11,DEPARTURE_DELAY,0.9018341950260604
US,Feb,10,DEPARTURE_DELAY,3.506925357282542
US,Mar,11,DEPARTURE_DELAY,3.092687218405922
US,Apr,11,DEPARTURE_DELAY,3.421828908554572
US,May,11,DEPARTURE_DELAY,6.363414634146341
US,Jun,10,DEPARTURE_DELAY,9.003652164496305
WN,Jan,5,DEPARTURE_DELAY,11.014406048003696
WN,Feb,8,DEPARTURE_DELAY,8.932338715155172
WN,Mar,3,DEPARTURE_DELAY,12.564656764697553
WN,Apr,5,DEPARTURE_DELAY,10.835130400723001
WN,May,5,DEPARTURE_DELAY,14.022008309602748
WN,Jun,6,DEPARTURE_DELAY,20.61508326250328
WN,Jul,4,DEPARTURE_DELAY,19.96009111331736
WN,Aug,3,DEPARTURE_DELAY,14.812179221628329
WN,Sep,5,DEPARTURE_DELAY,5.738105276039343
WN,Nov,7,DEPARTURE_DELAY,7.303520171819732
WN,Dec,5,DEPARTURE_DELAY,15.456552319595795
AA,Jan,5,ARRIVAL_DELAY,9.209960454224108
AA,Feb,6,ARRIVAL_DELAY,7.112452090087487
AA,Mar,5,ARRIVAL_DELAY,9.656781371495896
AA,Apr,8,ARRIVAL_DELAY,2.7258686965821477
AA,May,6,ARRIVAL_DELAY,5.884930054399512
AA,Jun,8,ARRIVAL_DELAY,7.474470874385463
AA,Jul,7,ARRIVAL_DELAY,7.377407851100903
AA,Aug,8,ARRIVAL_DELAY,3.520301359229729
AA,Sep,5,ARRIVAL_DELAY,4.111978610158833
AA,Nov,6,ARRIVAL_DELAY,3.578590710709971
AA,Dec,8,ARRIVAL_DELAY,4.99232741372569
AS,Jan,9,ARRIVAL_DELAY,3.142857142857143
AS,Feb,11,ARRIVAL_DELAY,-11.652173913043478
AS,Mar,11,ARRIVAL_DELAY,-7.076923076923077
AS,Apr,7,ARRIVAL_DELAY,4.190476190476191
AS,May,10,ARRIVAL_DELAY,0.46153846153846156
AS,Jun,11,ARRIVAL_DELAY,1.9282384282384282
AS,Jul,10,ARRIVAL_DELAY,-8.222222222222221
AS,Aug,10,ARRIVAL_DELAY,-3.6
AS,Sep,9,ARRIVAL_DELAY,-4.666666666666667
AS,Nov,5,ARRIVAL_DELAY,5.34
AS,Dec,7,ARRIVAL_DELAY,6.1
DL,Jan,11,ARRIVAL_DELAY,-3.099583016889827
DL,Feb,9,ARRIVAL_DELAY,2.9947969319712233
DL,Mar,10,ARRIVAL_DELAY,0.035115574702149814
DL,Apr,11,ARRIVAL_DELAY,-1.0467969659008396
DL,May,11,ARRIVAL_DELAY,-0.16820452425299023
DL,Jun,10,ARRIVAL_DELAY,3.3518231661662665
DL,Jul,9,ARRIVAL_DELAY,-2.1841376360446807
DL,Aug,9,ARRIVAL_DELAY,-0.9855592605303702
DL,Sep,10,ARRIVAL_DELAY,-6.333845177314171
DL,Nov,9,ARRIVAL_DELAY,-2.985216122998042
DL,Dec,9,ARRIVAL_DELAY,2.842059487959608
EV,Jan,6,ARRIVAL_DELAY,9.030504680827496
EV,Feb,4,ARRIVAL_DELAY,9.121106363426817
EV,Mar,3,ARRIVAL_DELAY,11.038423264693469
EV,Apr,3,ARRIVAL_DELAY,9.38630230814954
EV,May,4,ARRIVAL_DELAY,7.3895342944284605
EV,Jun,5,ARRIVAL_DELAY,12.936775748523239
EV,Jul,6,ARRIVAL_DELAY,8.482714728744567
EV,Aug,3,ARRIVAL_DELAY,9.600565050124672
EV,Sep,4,ARRIVAL_DELAY,4.599305852628561
EV,Nov,2,ARRIVAL_DELAY,9.391766882859002
