MONTH,AIRLINE,CANCELLATION_REASON,percentage
6,WN,National Air System,0.00249100470523111
6,WN,Weather,0.0077497924162745644
7,AA,Airline/Carrier,0.006692160611854685
7,AA,Weather,9.560229445506692e-4
7,DL,Airline/Carrier,2.0556040906521405e-4
7,DL,National Air System,3.5973071586412454e-4
7,DL,Weather,5.139010226630351e-5
7,EV,Airline/Carrier,7.331378299120235e-4
7,EV,Weather,9.775171065493646e-4
7,F9,Airline/Carrier,0.002012072434607646
7,MQ,Airline/Carrier,0.034482758620689655
7,MQ,National Air System,0.05747126436781609
7,MQ,Weather,0.005747126436781609
7,NK,Airline/Carrier,0.0024813895781637717
7,NK,National Air System,0.0024813895781637717
7,NK,Weather,0.004962779156327543
7,OO,Airline/Carrier,0.006024096385542169
7,OO,National Air System,0.006024096385542169
7,OO,Weather,0.006024096385542169
7,UA,Airline/Carrier,0.01904761904761905
7,UA,National Air System,0.0031746031746031746
7,UA,Weather,0.0031746031746031746
7,WN,Airline/Carrier,0.0021545919741448962
7,WN,National Air System,5.386479935362241e-4
7,WN,Weather,2.6932399676811203e-4
8,AA,Airline/Carrier,0.007070707070707071
8,AA,Weather,0.005050505050505051
8,DL,National Air System,4.616805170821791e-4
8,DL,Weather,1.0259567046270647e-4
8,EV,Airline/Carrier,0.001003260596940055
8,EV,National Air System,2.5081514923501377e-4
8,EV,Weather,0.002508151492350138
8,F9,Airline/Carrier,0.005917159763313609
8,MQ,Airline/Carrier,0.023391812865497075
8,MQ,National Air System,0.011695906432748537
8,MQ,Weather,0.017543859649122806
8,NK,Airline/Carrier,0.00228310502283105
8,NK,National Air System,0.00228310502283105
8,NK,Weather,0.00228310502283105
8,OO,Airline/Carrier,0.015625
8,OO,Weather,0.005208333333333333
8,UA,Airline/Carrier,0.012618296529968454
8,WN,Airline/Carrier,0.004036598493003229
8,WN,National Air System,0.001883745963401507
8,WN,Weather,2.6910656620021526e-4
9,AA,Airline/Carrier,0.007616974972796518
9,AA,Weather,0.001088139281828074
9,EV,Airline/Carrier,5.611672278338945e-4
9,EV,Weather,0.0014029180695847362
9,MQ,Airline/Carrier,0.029411764705882353
9,NK,Airline/Carrier,0.003629764065335753
9,NK,National Air System,0.0018148820326678765
9,NK,Weather,0.0018148820326678765
9,UA,Weather,0.003067484662576687
9,WN,Airline/Carrier,0.0028768699654775605
9,WN,National Air System,5.753739930955121e-4
11,AA,Airline/Carrier,0.003215434083601286
11,AA,Weather,0.0053590568060021436
11,DL,Airline/Carrier,5.462689828471539e-5
11,DL,Weather,5.462689828471539e-5
11,EV,Airline/Carrier,6.321112515802782e-4
11,EV,National Air System,3.160556257901391e-4
11,EV,Weather,0.0041087231352718075
11,MQ,Airline/Carrier,0.041666666666666664
11,NK,National Air System,0.0016863406408094434
11,NK,Weather,0.00505902192242833
11,OO,National Air System,0.0035460992907801418
11,OO,Weather,0.01773049645390071
11,UA,Weather,0.0030864197530864196
11,WN,Airline/Carrier,0.0037572254335260114
11,WN,National Air System,8.670520231213873e-4
11,WN,Weather,0.002023121387283237
12,AA,Airline/Carrier,0.0021413276231263384
12,AA,Weather,0.011777301927194861
12,DL,Airline/Carrier,0.0020067656671062437
12,DL,Weather,9.747147525944614e-4
12,EV,Airline/Carrier,0.001708567244325116
12,EV,Weather,0.017329753478154748
12,F9,Airline/Carrier,0.0024875621890547263
12,F9,Weather,0.004975124378109453
12,NK,Airline/Carrier,0.006578947368421052
12,NK,National Air System,0.008223684210526315
12,NK,Weather,0.006578947368421052
12,OO,Airline/Carrier,0.011976047904191617
12,OO,Weather,0.03592814371257485
12,UA,Airline/Carrier,0.006779661016949152
12,UA,Weather,0.006779661016949152
12,WN,Airline/Carrier,0.0030378348522507597
12,WN,National Air System,2.7616680475006904e-4
12,WN,Weather,0.015741507870753936
