DATE,DELAY_TYPE,DELAY
2015-04-09,DEPARTURE_DELAY,9.21599656270052
2015-04-10,DEPARTURE_DELAY,56.69766899181853
2015-04-11,DEPARTURE_DELAY,7.369556996749428
2015-04-12,DEPARTURE_DELAY,6.696706529752235
2015-04-13,DEPARTURE_DELAY,7.874891627133651
2015-04-14,DEPARTURE_DELAY,3.6662387676508343
2015-04-15,DEPARTURE_DELAY,4.302564102564102
2015-04-16,DEPARTURE_DELAY,12.853536939251224
2015-04-17,DEPARTURE_DELAY,8.188369152970923
2015-04-18,DEPARTURE_DELAY,4.549920760697306
2015-04-19,DEPARTURE_DELAY,12.749482594898183
2015-04-20,DEPARTURE_DELAY,13.614125208754052
2015-04-21,DEPARTURE_DELAY,1.6224156153197566
2015-04-22,DEPARTURE_DELAY,1.7913385826771653
2015-04-23,DEPARTURE_DELAY,3.2066752246469834
2015-04-24,DEPARTURE_DELAY,3.804977878303294
2015-04-25,DEPARTURE_DELAY,14.341215547251764
2015-04-26,DEPARTURE_DELAY,2.765415549597855
2015-04-27,DEPARTURE_DELAY,4.0505431353040375
2015-04-28,DEPARTURE_DELAY,1.9673366834170853
2015-04-29,DEPARTURE_DELAY,5.524479908805928
2015-04-30,DEPARTURE_DELAY,4.380438470572883
2015-05-01,DEPARTURE_DELAY,1.3250311332503113
2015-05-02,DEPARTURE_DELAY,2.442518989975401
2015-05-03,DEPARTURE_DELAY,2.530479896238651
2015-05-04,DEPARTURE_DELAY,3.041982949645785
2015-05-05,DEPARTURE_DELAY,0.36901838490959665
2015-05-06,DEPARTURE_DELAY,3.917680702747237
2015-05-07,DEPARTURE_DELAY,4.032699294465414
2015-05-08,DEPARTURE_DELAY,6.299031476997579
2015-05-09,DEPARTURE_DELAY,3.425267822039322
2015-05-10,DEPARTURE_DELAY,7.980025359645668
2015-05-11,DEPARTURE_DELAY,10.678747115826097
2015-05-12,DEPARTURE_DELAY,3.609351288239807
2015-05-13,DEPARTURE_DELAY,3.900207029772651
2015-05-14,DEPARTURE_DELAY,4.997546012269939
2015-05-15,DEPARTURE_DELAY,5.905422446406053
2015-05-16,DEPARTURE_DELAY,3.854790419161677
2015-05-17,DEPARTURE_DELAY,7.3254593175853016
2015-05-18,DEPARTURE_DELAY,37.20240348626983
2015-05-19,DEPARTURE_DELAY,10.276957807838134
2015-05-20,DEPARTURE_DELAY,3.951552795031056
